model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires
Citroën,207714,120,diesel,grey,sedan,False,True,False,False,True,False,True
Renault,137936,135,diesel,grey,sedan,True,True,True,False,True,True,True
Subaru,81536,225,diesel,black,suv,True,True,False,True,True,False,True
BMW,123286,85,diesel,blue,subcompact,False,False,False,False,False,False,True
Audi,70807,190,diesel,black,sedan,False,True,False,False,False,False,True
Renault,135200,120,diesel,black,estate,True,True,False,False,False,True,True
Audi,253181,145,diesel,black,estate,False,True,False,False,True,False,True
BMW,123605,135,diesel,black,suv,False,True,False,True,True,False,True
Peugeot,25050,100,petrol,grey,convertible,False,True,False,False,False,False,True
Citroën,63117,135,petrol,grey,sedan,False,False,False,False,False,False,False
Citroën,152018,119,diesel,black,estate,True,True,False,False,True,True,True
Citroën,144104,120,diesel,white,estate,True,True,False,False,True,True,True
Citroën,43911,105,diesel,blue,subcompact,False,False,False,False,True,False,True
Peugeot,114968,135,diesel,white,hatchback,False,True,False,True,False,True,True
Nissan,250952,130,diesel,white,suv,False,False,False,False,False,False,True
BMW,180007,110,diesel,brown,suv,True,True,False,True,False,False,True
Citroën,175217,135,diesel,grey,estate,True,True,False,False,True,True,True
Peugeot,170108,100,diesel,black,estate,False,True,False,False,False,False,True
Renault,208035,120,petrol,grey,sedan,True,True,False,False,True,False,True
Peugeot,123340,105,diesel,brown,estate,False,True,False,False,False,True,True
Renault,157485,85,diesel,brown,estate,False,True,False,False,False,False,True
BMW,138203,85,diesel,grey,hatchback,False,True,False,False,False,False,True
Citroën,92526,135,diesel,brown,estate,False,True,False,False,False,True,True
Citroën,146639,135,diesel,silver,estate,False,True,False,False,False,False,True
Citroën,155357,137,diesel,grey,estate,True,True,False,False,True,True,True
Citroën,201187,105,diesel,silver,hatchback,False,False,False,False,False,False,True
Volkswagen,54696,190,diesel,grey,sedan,True,True,True,True,True,False,True
BMW,131612,85,diesel,brown,hatchback,False,True,True,False,True,False,True
BMW,125225,85,diesel,blue,hatchback,True,True,True,False,True,True,True
BMW,161729,100,diesel,brown,suv,True,True,False,False,False,False,True
Renault,156478,120,diesel,black,estate,True,True,False,False,False,False,True
Renault,115307,85,diesel,grey,sedan,False,True,False,False,False,False,True
Peugeot,162021,90,diesel,black,estate,False,False,False,False,False,False,True
BMW,163252,85,diesel,white,hatchback,False,True,False,False,True,False,True
BMW,190203,135,diesel,black,suv,False,False,False,True,True,False,True
BMW,192124,130,diesel,black,suv,True,False,False,True,True,True,True
Citroën,141507,105,diesel,grey,sedan,False,True,False,False,False,False,True
Audi,263395,130,diesel,blue,estate,True,True,False,False,True,False,True
Citroën,120178,120,diesel,grey,sedan,True,True,False,False,False,True,True
Audi,160471,160,diesel,black,estate,False,True,False,False,True,False,True
Toyota,65689,100,diesel,grey,van,False,True,False,False,False,False,True
Mitsubishi,30689,190,diesel,black,suv,True,True,True,True,True,True,True
Citroën,177650,120,diesel,grey,estate,False,False,False,False,False,False,True
Renault,172485,120,diesel,grey,estate,True,True,False,False,False,False,True
